date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:41	59400/59400	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2021:07:02%20GMT	https://template.viserlab.com/callzen/demos/index-two.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/index-two.html	(from )
12:49:41	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Aug%202022%2007:19:42%20GMT	https://template.viserlab.com/robots.txt		(from )
12:49:42	2122/2122	---M--	200	added ('OK')	image/png	date:Wed,%2018%20May%202022%2016:01:46%20GMT	https://template.viserlab.com/callzen/demos/assets/images/favicon/favicon.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/favicon/favicon.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:42	155805/155805	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20Apr%202022%2014:18:24%20GMT	https://template.viserlab.com/callzen/demos/assets/css/bootstrap.min.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/bootstrap.min.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:42	89220/89220	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2021:24:26%20GMT	https://template.viserlab.com/callzen/demos/assets/css/fontawesome-all.min.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/fontawesome-all.min.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:42	89728/89728	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jun%202022%2021:45:50%20GMT	https://template.viserlab.com/callzen/demos/assets/css/line-awesome.min.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/line-awesome.min.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:43	7998/7998	---M-Z	200	added ('OK')	text/css	date:Sat,%2002%20Jul%202022%2017:25:00%20GMT	https://template.viserlab.com/callzen/demos/assets/css/magnific-popup.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/magnific-popup.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:43	1893/1893	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2021:24:26%20GMT	https://template.viserlab.com/callzen/demos/assets/css/slick.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/slick.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:43	2107/2107	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20May%202022%2017:16:44%20GMT	https://template.viserlab.com/callzen/demos/assets/css/flaticon.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/flaticon.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:44	3399/3399	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2015:45:46%20GMT	https://template.viserlab.com/callzen/demos/assets/css/odometer.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/odometer.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:44	127652/127652	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Jul%202022%2020:59:30%20GMT	https://template.viserlab.com/callzen/demos/assets/css/style.css	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/css/style.css	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:44	94041/94041	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:56:02%20GMT	https://template.viserlab.com/callzen/demos/index.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/index.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:44	4516/4516	---M--	200	added ('OK')	image/png	date:Wed,%2018%20May%202022%2017:33:56%20GMT	https://template.viserlab.com/callzen/demos/assets/images/logo/logo.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/logo/logo.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:45	37050/37050	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:02:40%20GMT	https://template.viserlab.com/callzen/demos/about.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/about.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:45	33745/33745	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:50:14%20GMT	https://template.viserlab.com/callzen/demos/services.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/services.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:45	28567/28567	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:49:44%20GMT	https://template.viserlab.com/callzen/demos/services-details.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/services-details.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:46	21554/21554	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:02:32%20GMT	https://template.viserlab.com/callzen/demos/work.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/work.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:46	22906/22906	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:01:46%20GMT	https://template.viserlab.com/callzen/demos/pricing.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/pricing.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:46	73228/73228	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:40:00%20GMT	https://template.viserlab.com/callzen/demos/faq.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/faq.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:47	13312/13312	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:03:14%20GMT	https://template.viserlab.com/callzen/demos/error.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/error.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:47	24053/24053	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:03:04%20GMT	https://template.viserlab.com/callzen/demos/blog.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/blog.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:47	26781/26781	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:41:54%20GMT	https://template.viserlab.com/callzen/demos/blog-classic.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/blog-classic.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:47	29489/29489	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:42:56%20GMT	https://template.viserlab.com/callzen/demos/blog-details.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/blog-details.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:48	17347/17347	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Jul%202022%2020:44:16%20GMT	https://template.viserlab.com/callzen/demos/contact.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/contact.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:48	17957/17957	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jul%202022%2021:01:54%20GMT	https://template.viserlab.com/callzen/demos/registration.html	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/registration.html	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:49	326/326	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2016:28:18%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/cross.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/cross.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:49	420/420	---M--	200	added ('OK')	image/png	date:Thu,%2019%20May%202022%2016:54:18%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/shape-square.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/shape-square.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:50	557/557	---M--	200	added ('OK')	image/png	date:Thu,%2019%20May%202022%2016:53:56%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/shape-circle.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/shape-circle.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:50	357/357	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2016:28:30%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/cross-two.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/cross-two.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:51	681/681	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2016:28:50%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/moon.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/moon.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:51	1780/1780	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jun%202022%2021:52:08%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/cta-dots.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/cta-dots.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:52	10862/10862	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2018:52:50%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/play-img-border.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/play-img-border.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:52	1035248/1035248	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2016:56:46%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-01/play-img.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-01/play-img.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:53	725979/725979	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2019:07:46%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-02/about-img.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-02/about-img.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:54	13996/13996	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2019:08:24%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-02/about-img-border.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-02/about-img-border.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
12:49:54	13160/13160	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Jul%202022%2020:23:24%20GMT	https://template.viserlab.com/callzen/demos/assets/images/home-02/features-author-img.png	C:/Users/Wasif%20Abbas/Desktop/healer/template.viserlab.com/callzen/demos/assets/images/home-02/features-author-img.png	(from https://template.viserlab.com/callzen/demos/index-two.html)
